event_id,venue,date,size,tickets_left
1,Cruzeiro,10/30/2015,121248,121248
2,Shiraoka,05/09/2014,123948,123948
3,Yamagata-shi,12/16/2015,30179,30179
4,El Vendrell,10/10/2015,77051,77051
5,Monte Caseros,05/31/2015,98169,98169
6,Lloret de Mar,07/01/2015,53322,53322
7,Allende,10/15/2013,118761,118761
8,Jingzhou,10/18/2013,104197,104197
9,Santuario,05/15/2015,10956,10956
10,Bhola,07/16/2015,135326,135326
11,Luninyets,11/06/2013,109248,109248
12,Elizabeth,06/03/2014,26993,26993
13,Franca,12/13/2015,124716,124716
14,Gravina di Catania,09/28/2015,84677,84677
15,Nanyuki,05/11/2015,53159,53159
16,Abū Tīj,12/01/2013,135685,135685
17,Traiskirchen,12/24/2013,124605,124605
18,Degema Hulk,02/03/2014,5597,5597
19,Rio das Pedras,05/23/2014,10676,10676
20,Chichigalpa,12/09/2015,51974,51974
21,Bostonia,09/18/2015,52265,52265
22,Kokubunji,11/19/2014,20553,20553
23,Nidda,08/19/2014,122922,122922
24,Ubaté,09/04/2015,62239,62239
25,Jataí,05/22/2015,132115,132115
26,Tàrrega,03/20/2015,27800,27800
27,Thaba Nchu,04/17/2014,61888,61888
28,Hernani,12/13/2013,44832,44832
29,Saint Neots,02/10/2014,50525,50525
30,Newark,04/29/2015,41524,41524
31,Kulai,01/15/2015,39322,39322
32,Amagasaki,06/22/2015,39407,39407
33,Bonao,05/26/2014,17020,17020
34,Asmara,12/21/2013,79234,79234
35,Stockton,04/23/2015,61372,61372
36,Pitt Meadows,03/08/2015,116990,116990
37,Peringat,03/17/2014,25163,25163
38,Surkhakhi,10/23/2013,86000,86000
39,Cehegín,02/05/2014,52497,52497
40,Mairiporã,12/20/2014,88497,88497
41,Winterswijk,10/31/2014,13169,13169
42,Harper,11/23/2015,47866,47866
43,Imari,07/24/2014,112068,112068
44,Timbiras,05/10/2015,58105,58105
45,Huaxian,11/17/2015,111443,111443
46,Ryde,08/12/2014,113122,113122
47,Vec-Liepāja,01/13/2016,70340,70340
48,Crawley,10/22/2014,51239,51239
49,Fort Worth,02/26/2014,22740,22740
50,Horizonte,04/04/2014,36634,36634
51,Pristina,01/02/2014,118337,118337
52,Katwijk aan Zee,01/09/2014,79042,79042
53,Melville,04/03/2015,139105,139105
54,Deyang,04/26/2015,120389,120389
55,Quirinópolis,06/06/2014,72056,72056
56,Pforzheim,03/21/2015,148089,148089
57,Kalmunai,05/24/2014,23482,23482
58,Cornaredo,10/31/2013,21665,21665
59,Varel,01/21/2016,102246,102246
60,Richmond,05/19/2015,102534,102534
61,Dadukou,06/11/2015,68851,68851
62,Gibara,07/08/2014,109876,109876
63,Hereford,05/04/2015,119484,119484
64,Morganton,11/21/2014,13592,13592
65,Abomey-Calavi,10/21/2013,58978,58978
66,White River,01/16/2014,65640,65640
67,Yelenendorf,10/15/2014,118522,118522
68,Pioltello,06/26/2015,88722,88722
69,Dixon,01/07/2016,121320,121320
70,Saint-Augustin-de-Desmaures,10/23/2013,40836,40836
71,Tamamura,08/29/2015,39372,39372
72,Taungdwingyi,06/10/2014,70910,70910
73,Minna,08/03/2014,102678,102678
74,Galapa,08/17/2014,53188,53188
75,Shar’ya,07/24/2014,98854,98854
76,Mouscron,01/05/2016,52388,52388
77,Dailekh,08/15/2014,91461,91461
78,Otradnoye,05/16/2015,139541,139541
79,São Francisco do Conde,03/20/2015,87213,87213
80,Eggenstein-Leopoldshafen,07/19/2014,102272,102272
81,Zyablikovo,08/23/2014,105910,105910
82,Bimbo,12/16/2015,126194,126194
83,Union,10/10/2014,38882,38882
84,Hammond,10/18/2014,21068,21068
85,Pivijay,04/20/2014,23432,23432
86,Harker Heights,12/23/2015,141568,141568
87,Sougueur,07/26/2015,27499,27499
88,Tororo,11/01/2015,1958,1958
89,Annino,01/05/2016,105508,105508
90,Mengcheng Chengguanzhen,07/12/2014,102650,102650
91,Tlaquiltenango,08/16/2015,104895,104895
92,Pirané,01/18/2014,130243,130243
93,Talca,08/21/2014,137265,137265
94,Isfana,02/17/2014,94461,94461
95,Waverly,07/25/2014,67264,67264
96,Caldas,07/27/2014,8249,8249
97,Kericho,01/16/2014,149930,149930
98,Phunphin,05/16/2014,137780,137780
99,Joinville,04/01/2014,47864,47864
100,Yulin,05/02/2015,48645,48645
101,Yoshida-kasugachō,06/11/2015,116803,116803
102,Kariya,01/29/2015,71147,71147
103,Brumado,09/26/2015,139671,139671
104,Pedro Meoqui,09/01/2015,21936,21936
105,Magdalena Contreras,01/24/2014,11866,11866
106,Colatina,06/08/2015,122565,122565
107,Riverside,07/28/2014,70960,70960
108,Salinópolis,01/20/2014,4862,4862
109,Roselle,12/30/2015,59766,59766
110,San Juan Nepomuceno,03/08/2014,114129,114129
111,Sochi,05/21/2015,113402,113402
112,Quedlinburg,11/20/2013,93428,93428
113,Huyton,12/23/2015,44345,44345
114,Chimoio,04/27/2014,36439,36439
115,Firmat,04/01/2015,118758,118758
